secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,delta,gamma,vega,theta,optionid,index_flag,issuer,exercise_style
101594,2018/06/08,2018/06/15,2018/06/08,P,187500,0.5,0.51,10532,0.18462,-0.186213,0.054736,7.120271,-33.59798,120531385,0,APPLE INC,A
101594,2018/06/08,2018/06/15,2018/06/08,P,190000,1.09,1.12,16807,0.17594,-0.348135,0.079308,9.808052,-43.82947,114756864,0,APPLE INC,A
101594,2018/06/08,2018/06/15,2018/06/08,P,192500,2.19,2.23,4286,0.171199,-0.560662,0.087242,10.46175,-44.91464,120531386,0,APPLE INC,A
101594,2018/06/08,2018/06/15,2018/06/08,P,195000,3.85,3.95,954,0.172434,-0.757061,0.069455,8.288691,-35.13608,114756865,0,APPLE INC,A
101594,2018/06/08,2018/06/15,2018/06/08,P,197500,6,6.1,287,0.183769,-0.877883,0.043223,5.345552,-23.5339,120531387,0,APPLE INC,A
101594,2018/06/08,2018/06/15,2018/06/08,P,200000,8.35,8.5,1777,0.205459,-0.932933,0.02573,3.42626,-16.42639,115032873,0,APPLE INC,A
101594,2018/06/08,2018/06/15,2018/06/08,P,202500,10.75,10.95,6,0.220325,-0.966928,0.014854,1.912336,-9.549574,120531388,0,APPLE INC,A
101594,2018/06/08,2018/06/15,2018/06/08,P,207500,15.75,16.2,2,0.354144,-0.946013,0.012333,2.88928,-24.70017,120531389,0,APPLE INC,A
101594,2018/06/08,2018/06/15,2018/06/08,P,210000,18.25,18.45,17,0.33488,-0.977194,0.007152,1.40514,-10.85877,115312117,0,APPLE INC,A
101594,2018/06/08,2018/06/22,2018/06/08,P,150000,0,0.03,5,0.461321,-0.002808,0.000499,0.324873,-1.938608,120389700,0,APPLE INC,A
101594,2018/06/08,2018/06/22,2018/06/08,P,160000,0.01,0.05,23,0.377829,-0.006379,0.001268,0.675282,-3.300349,120389704,0,APPLE INC,A
101594,2018/06/08,2018/06/22,2018/06/08,P,165000,0.03,0.07,1,0.341678,-0.011112,0.002281,1.100349,-4.850401,120389706,0,APPLE INC,A
101594,2018/06/08,2018/06/22,2018/06/08,P,170000,0.05,0.1,36,0.298737,-0.018065,0.003964,1.669878,-6.432014,120389708,0,APPLE INC,A
101594,2018/06/08,2018/06/22,2018/06/08,P,172500,0.07,0.11,30,0.275355,-0.022867,0.005253,2.033376,-7.230484,120389709,0,APPLE INC,A
101594,2018/06/08,2018/06/22,2018/06/08,P,175000,0.09,0.14,104,0.25384,-0.030527,0.007252,2.597118,-8.469933,120389710,0,APPLE INC,A
101594,2018/06/08,2018/06/22,2018/06/08,P,177500,0.16,0.18,45,0.237885,-0.045452,0.01071,3.5899,-10.96346,120389711,0,APPLE INC,A
101594,2018/06/08,2018/06/22,2018/06/08,P,180000,0.24,0.27,1109,0.221783,-0.068387,0.015856,4.956178,-14.07,120389712,0,APPLE INC,A
101594,2018/06/08,2018/06/22,2018/06/08,P,182500,0.38,0.41,399,0.206396,-0.104922,0.023479,6.817853,-17.9786,120389713,0,APPLE INC,A
101594,2018/06/08,2018/06/22,2018/06/08,P,185000,0.62,0.66,3252,0.19306,-0.164105,0.034177,9.283494,-22.78107,120389714,0,APPLE INC,A
101594,2018/06/08,2018/06/22,2018/06/08,P,187500,1.11,1.14,2272,0.186924,-0.260674,0.046386,12.19024,-28.78485,120389715,0,APPLE INC,A
101594,2018/06/08,2018/06/22,2018/06/08,P,190000,1.86,1.88,2822,0.180196,-0.386867,0.056812,14.36651,-32.41416,120389716,0,APPLE INC,A
101594,2018/06/08,2018/06/22,2018/06/08,P,192500,2.98,3.05,11638,0.177578,-0.534559,0.060084,14.90883,-32.75827,120389717,0,APPLE INC,A
101594,2018/06/08,2018/06/22,2018/06/08,P,195000,4.5,4.6,182,0.176386,-0.679154,0.054936,13.41501,-28.77981,120389718,0,APPLE INC,A
101594,2018/06/08,2018/06/22,2018/06/08,P,197500,6.4,6.5,31,0.178097,-0.79792,0.043557,10.53883,-22.27949,120389719,0,APPLE INC,A
101594,2018/06/08,2018/06/22,2018/06/08,P,200000,8.55,8.65,157,0.180486,-0.884164,0.030945,7.269144,-15.05258,120389720,0,APPLE INC,A
101594,2018/06/11,2018/06/22,2018/06/11,P,147000,0,0.02,1,0.533193,-0.001894,0.000342,0.200703,-1.767978,120389697,0,APPLE INC,A
101594,2018/06/11,2018/06/22,2018/06/11,P,157500,0.01,0.03,3,0.433666,-0.004346,0.000888,0.424236,-3.036315,120389703,0,APPLE INC,A
101594,2018/06/11,2018/06/22,2018/06/11,P,167500,0.03,0.05,20,0.335667,-0.010343,0.002467,0.914579,-5.042634,120389707,0,APPLE INC,A
101594,2018/06/11,2018/06/22,2018/06/11,P,170000,0.04,0.06,45,0.31201,-0.013517,0.003347,1.15021,-5.906182,120389708,0,APPLE INC,A
