PERMNO,date,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,HEXCD,HSICCD,DLRET,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR,OPENPRC,vwretd,ewretd,sprtrn
14593,2017/05/18,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,152.53999,33568215,0.015241,5213840,4,4,151.27000,0.003373,-0.000081,0.003687
14593,2017/05/19,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,153.06000,26960791,0.003409,5213840,4,4,153.38000,0.007584,0.008121,0.006767
14593,2017/05/22,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,153.99001,22966447,0.006076,5213840,4,4,154.00000,0.005400,0.004161,0.005160
14593,2017/05/23,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,153.80000,20020271,-0.001234,5213840,4,4,154.89999,0.001529,0.000542,0.001838
14593,2017/05/24,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,153.34000,19219154,-0.002991,5213840,4,4,153.84000,0.002402,0.000711,0.002489
14593,2017/05/25,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,153.87000,19258674,0.003456,5213840,4,4,153.73000,0.003251,0.000290,0.004442
14593,2017/05/26,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,153.61000,21927637,-0.001690,5213840,4,4,154.00000,0.000309,0.000124,0.000311
14593,2017/05/30,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,153.67000,20126951,0.000391,5213840,4,4,153.42000,-0.002271,-0.005404,-0.001205
14593,2017/05/31,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,152.75999,24516956,-0.005922,5213840,4,4,153.97000,-0.000327,-0.000710,-0.000460
14593,2017/06/01,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,153.17999,16404345,0.002749,5213840,4,4,153.17000,0.009061,0.010904,0.007571
14593,2017/06/02,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,155.45000,27770715,0.014819,5213840,4,4,153.58000,0.003486,0.004465,0.003708
14593,2017/06/05,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,153.92999,25331722,-0.009778,5213840,4,4,154.34000,-0.001820,-0.004036,-0.001218
14593,2017/06/06,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,154.45000,26624956,0.003378,5213840,4,4,153.89999,-0.002154,-0.000790,-0.002779
14593,2017/06/07,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,155.37000,21069665,0.005957,5213840,4,4,155.02000,0.000727,-0.000940,0.001568
14593,2017/06/08,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,154.99001,21250808,-0.002446,5213840,4,4,155.25000,0.001599,0.005748,0.000267
14593,2017/06/09,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,148.98000,64882785,-0.038777,5213840,4,4,155.19000,-0.000546,0.002024,-0.000830
14593,2017/06/12,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,145.42000,72309586,-0.023896,5213840,4,4,145.74001,-0.000867,-0.001210,-0.000979
14593,2017/06/13,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,146.59000,34165445,0.008046,5213840,4,4,147.16000,0.005333,0.005552,0.004511
14593,2017/06/14,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,145.16000,31531632,-0.009755,5213840,4,4,147.50000,-0.002295,-0.004337,-0.000996
14593,2017/06/15,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,144.28999,32165458,-0.005993,5213840,4,4,143.32001,-0.002975,-0.005338,-0.002240
14593,2017/06/16,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,142.27000,50861175,-0.014000,5213840,4,4,143.78000,0.000542,-0.000142,0.000284
14593,2017/06/19,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,146.34000,32541429,0.028608,5213840,4,4,143.66000,0.007648,0.006074,0.008347
14593,2017/06/20,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,145.00999,24900069,-0.009088,5213840,4,4,146.87000,-0.007524,-0.006921,-0.006697
14593,2017/06/21,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,145.87000,21265851,0.005931,5213840,4,4,145.52000,-0.000753,-0.001863,-0.000583
14593,2017/06/22,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,145.63000,19124294,-0.001645,5213840,4,4,145.77000,0.000802,0.004618,-0.000456
14593,2017/06/23,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,146.28000,35450889,0.004463,5213840,4,4,145.13000,0.002919,0.006132,0.001561
14593,2017/06/26,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,145.82001,25693361,-0.003145,5213840,4,4,147.17000,0.000940,0.003670,0.000316
14593,2017/06/27,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,143.73000,24761908,-0.014333,5213840,4,4,145.00999,-0.007479,-0.005515,-0.008073
14593,2017/06/28,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,145.83000,22082432,0.014611,5213840,4,4,144.49001,0.010019,0.009610,0.008808
14593,2017/06/29,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,143.67999,31499368,-0.014743,5213840,4,4,144.71001,-0.008123,-0.004494,-0.008600
14593,2017/06/30,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,144.02000,23024114,0.002366,5169782,4,4,144.45000,0.001448,0.001301,0.001533
14593,2017/07/03,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,143.50000,14277887,-0.003611,5169782,4,4,144.88000,0.003044,0.005382,0.002311
14593,2017/07/05,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,144.09000,21569632,0.004111,5169782,4,4,143.69000,0.000131,-0.003671,0.001453
14593,2017/07/06,11,3,3571,03783310,AAPL,APPLE INC,Q,A,R,7,3,3571,,142.73000,24128782,-0.009439,5169782,4,4,143.02000,-0.009238,-0.008873,-0.009369
